sk_plant,plant_code,plant_name,plant_pengirim
1,B131,CNS-BR KARAWANG,1707
2,B113,CNS-RANGKASBITUNG,8003
3,B113,CNS-RANGKASBITUNG,8201
4,B220,CNS-BR TANGERANG,1711
5,B220,CNS-BR TANGERANG,8201
6,B220,CNS-BR TANGERANG,1107
7,B220,CNS-BR TANGERANG,8003
8,B220,CNS-BR TANGERANG,1701
9,B220,CNS-BR TANGERANG,8003
10,B188,CNS - Pekayon,8003
11,B182,CNS-JAKBAR 2,1701
12,B186,CNS-MANGGARAI,8003
13,B182,CNS-JAKBAR 2,1101
14,B182,CNS-JAKBAR 2,8003
15,B182,CNS-JAKBAR 2,1103
16,B220,CNS-BR TANGERANG,8201
17,B182,CNS-JAKBAR 2,8201
18,B182,CNS-JAKBAR 2,1103
19,B186,CNS-MANGGARAI,1701
20,B188,CNS - Pekayon,8201
21,B220,CNS-BR TANGERANG,1701
22,B188,CNS - Pekayon,1701
23,B220,CNS-BR TANGERANG,8003
24,B182,CNS-JAKBAR 2,1707
25,B182,CNS-JAKBAR 2,1701
26,B220,CNS-BR TANGERANG,1701
27,B186,CNS-MANGGARAI,8003
28,B182,CNS-JAKBAR 2,1701
29,B182,CNS-JAKBAR 2,8003
30,B120,CNS-BR JAKUTPUS,1107
31,B181,CNS-Kebayoran Lama,1701
32,B182,CNS-JAKBAR 2,8003
33,B113,CNS-RANGKASBITUNG,1707
34,B120,CNS-BR JAKUTPUS,1705
35,B220,CNS-BR TANGERANG,1701
36,B186,CNS-MANGGARAI,8003
37,B181,CNS-Kebayoran Lama,1701
38,B186,CNS-MANGGARAI,8003
39,B188,CNS - Pekayon,1701
40,B113,CNS-RANGKASBITUNG,8003
41,B182,CNS-JAKBAR 2,1701
42,B220,CNS-BR TANGERANG,1701
43,B220,CNS-BR TANGERANG,8003
44,B130,CNS-BR TAMBUN,1701
45,B120,CNS-BR JAKUTPUS,8003
46,B188,CNS - Pekayon,8003
47,B113,CNS-RANGKASBITUNG,8003
48,B221,CNS-SB CIKUPA,8003
49,B113,CNS-RANGKASBITUNG,8003
50,B186,CNS-MANGGARAI,8003
51,B130,CNS-BR TAMBUN,1701
52,B130,CNS-BR TAMBUN,8003
53,B182,CNS-JAKBAR 2,1711
54,B185,CNS-BR JAKSEL,8003
55,B111,CNS-SP MALIMPING,1107
56,B120,CNS-BR JAKUTPUS,8003
57,B101,CNS-SP PELABUHAN RATU,8003
58,B188,CNS - Pekayon,1107
59,B188,CNS - Pekayon,1602
60,B188,CNS - Pekayon,1701
61,B186,CNS-MANGGARAI,8003
62,B130,CNS-BR TAMBUN,8003
63,B220,CNS-BR TANGERANG,1701
64,B182,CNS-JAKBAR 2,1707
65,B113,CNS-RANGKASBITUNG,8003
