sk_waktu,hari,kuartal,bulan,year,tanggal
20200101,1,Q1,1,2020,2020-01-01
20200102,2,Q1,1,2020,2020-01-02
20200103,3,Q1,1,2020,2020-01-03
20200104,4,Q1,1,2020,2020-01-04
20200105,5,Q1,1,2020,2020-01-05
20200106,6,Q1,1,2020,2020-01-06
20200107,7,Q1,1,2020,2020-01-07
20200108,8,Q1,1,2020,2020-01-08
20200109,9,Q1,1,2020,2020-01-09
20200110,10,Q1,1,2020,2020-01-10
20200111,11,Q1,1,2020,2020-01-11
20200112,12,Q1,1,2020,2020-01-12
20200113,13,Q1,1,2020,2020-01-13
20200114,14,Q1,1,2020,2020-01-14
20200115,15,Q1,1,2020,2020-01-15
20200116,16,Q1,1,2020,2020-01-16
20200117,17,Q1,1,2020,2020-01-17
20200118,18,Q1,1,2020,2020-01-18
20200119,19,Q1,1,2020,2020-01-19
20200120,20,Q1,1,2020,2020-01-20
20200121,21,Q1,1,2020,2020-01-21
20200122,22,Q1,1,2020,2020-01-22
20200123,23,Q1,1,2020,2020-01-23
20200124,24,Q1,1,2020,2020-01-24
20200125,25,Q1,1,2020,2020-01-25
20200126,26,Q1,1,2020,2020-01-26
20200127,27,Q1,1,2020,2020-01-27
20200128,28,Q1,1,2020,2020-01-28
20200129,29,Q1,1,2020,2020-01-29
20200130,30,Q1,1,2020,2020-01-30
20200131,31,Q1,1,2020,2020-01-31
20200201,1,Q1,2,2020,2020-02-01
20200202,2,Q1,2,2020,2020-02-02
20200203,3,Q1,2,2020,2020-02-03
20200204,4,Q1,2,2020,2020-02-04
20200205,5,Q1,2,2020,2020-02-05
20200206,6,Q1,2,2020,2020-02-06
20200207,7,Q1,2,2020,2020-02-07
20200208,8,Q1,2,2020,2020-02-08
20200209,9,Q1,2,2020,2020-02-09
20200210,10,Q1,2,2020,2020-02-10
20200211,11,Q1,2,2020,2020-02-11
20200212,12,Q1,2,2020,2020-02-12
20200213,13,Q1,2,2020,2020-02-13
20200214,14,Q1,2,2020,2020-02-14
20200215,15,Q1,2,2020,2020-02-15
20200216,16,Q1,2,2020,2020-02-16
20200217,17,Q1,2,2020,2020-02-17
20200218,18,Q1,2,2020,2020-02-18
20200219,19,Q1,2,2020,2020-02-19
20200220,20,Q1,2,2020,2020-02-20
20200221,21,Q1,2,2020,2020-02-21
20200222,22,Q1,2,2020,2020-02-22
20200223,23,Q1,2,2020,2020-02-23
20200224,24,Q1,2,2020,2020-02-24
20200225,25,Q1,2,2020,2020-02-25
20200226,26,Q1,2,2020,2020-02-26
20200227,27,Q1,2,2020,2020-02-27
20200228,28,Q1,2,2020,2020-02-28
20200229,29,Q1,2,2020,2020-02-29
20200301,1,Q1,3,2020,2020-03-01
20200302,2,Q1,3,2020,2020-03-02
20200303,3,Q1,3,2020,2020-03-03
20200304,4,Q1,3,2020,2020-03-04
20200305,5,Q1,3,2020,2020-03-05
20200306,6,Q1,3,2020,2020-03-06
20200307,7,Q1,3,2020,2020-03-07
20200308,8,Q1,3,2020,2020-03-08
20200309,9,Q1,3,2020,2020-03-09
20200310,10,Q1,3,2020,2020-03-10
20200311,11,Q1,3,2020,2020-03-11
20200312,12,Q1,3,2020,2020-03-12
20200313,13,Q1,3,2020,2020-03-13
20200314,14,Q1,3,2020,2020-03-14
20200315,15,Q1,3,2020,2020-03-15
20200316,16,Q1,3,2020,2020-03-16
20200317,17,Q1,3,2020,2020-03-17
20200318,18,Q1,3,2020,2020-03-18
20200319,19,Q1,3,2020,2020-03-19
20200320,20,Q1,3,2020,2020-03-20
20200321,21,Q1,3,2020,2020-03-21
20200322,22,Q1,3,2020,2020-03-22
20200323,23,Q1,3,2020,2020-03-23
20200324,24,Q1,3,2020,2020-03-24
20200325,25,Q1,3,2020,2020-03-25
20200326,26,Q1,3,2020,2020-03-26
20200327,27,Q1,3,2020,2020-03-27
20200328,28,Q1,3,2020,2020-03-28
20200329,29,Q1,3,2020,2020-03-29
20200330,30,Q1,3,2020,2020-03-30
20200331,31,Q1,3,2020,2020-03-31
20200401,1,Q2,4,2020,2020-04-01
20200402,2,Q2,4,2020,2020-04-02
20200403,3,Q2,4,2020,2020-04-03
20200404,4,Q2,4,2020,2020-04-04
20200405,5,Q2,4,2020,2020-04-05
20200406,6,Q2,4,2020,2020-04-06
20200407,7,Q2,4,2020,2020-04-07
20200408,8,Q2,4,2020,2020-04-08
20200409,9,Q2,4,2020,2020-04-09
20200410,10,Q2,4,2020,2020-04-10
20200411,11,Q2,4,2020,2020-04-11
20200412,12,Q2,4,2020,2020-04-12
20200413,13,Q2,4,2020,2020-04-13
20200414,14,Q2,4,2020,2020-04-14
20200415,15,Q2,4,2020,2020-04-15
20200416,16,Q2,4,2020,2020-04-16
20200417,17,Q2,4,2020,2020-04-17
20200418,18,Q2,4,2020,2020-04-18
20200419,19,Q2,4,2020,2020-04-19
20200420,20,Q2,4,2020,2020-04-20
20200421,21,Q2,4,2020,2020-04-21
20200422,22,Q2,4,2020,2020-04-22
20200423,23,Q2,4,2020,2020-04-23
20200424,24,Q2,4,2020,2020-04-24
20200425,25,Q2,4,2020,2020-04-25
20200426,26,Q2,4,2020,2020-04-26
20200427,27,Q2,4,2020,2020-04-27
20200428,28,Q2,4,2020,2020-04-28
20200429,29,Q2,4,2020,2020-04-29
20200430,30,Q2,4,2020,2020-04-30
20200501,1,Q2,5,2020,2020-05-01
20200502,2,Q2,5,2020,2020-05-02
20200503,3,Q2,5,2020,2020-05-03
20200504,4,Q2,5,2020,2020-05-04
20200505,5,Q2,5,2020,2020-05-05
20200506,6,Q2,5,2020,2020-05-06
20200507,7,Q2,5,2020,2020-05-07
20200508,8,Q2,5,2020,2020-05-08
20200509,9,Q2,5,2020,2020-05-09
20200510,10,Q2,5,2020,2020-05-10
20200511,11,Q2,5,2020,2020-05-11
20200512,12,Q2,5,2020,2020-05-12
20200513,13,Q2,5,2020,2020-05-13
20200514,14,Q2,5,2020,2020-05-14
20200515,15,Q2,5,2020,2020-05-15
20200516,16,Q2,5,2020,2020-05-16
20200517,17,Q2,5,2020,2020-05-17
20200518,18,Q2,5,2020,2020-05-18
20200519,19,Q2,5,2020,2020-05-19
20200520,20,Q2,5,2020,2020-05-20
20200521,21,Q2,5,2020,2020-05-21
20200522,22,Q2,5,2020,2020-05-22
20200523,23,Q2,5,2020,2020-05-23
20200524,24,Q2,5,2020,2020-05-24
20200525,25,Q2,5,2020,2020-05-25
20200526,26,Q2,5,2020,2020-05-26
20200527,27,Q2,5,2020,2020-05-27
20200528,28,Q2,5,2020,2020-05-28
20200529,29,Q2,5,2020,2020-05-29
20200530,30,Q2,5,2020,2020-05-30
20200531,31,Q2,5,2020,2020-05-31
20200601,1,Q2,6,2020,2020-06-01
20200602,2,Q2,6,2020,2020-06-02
20200603,3,Q2,6,2020,2020-06-03
20200604,4,Q2,6,2020,2020-06-04
20200605,5,Q2,6,2020,2020-06-05
20200606,6,Q2,6,2020,2020-06-06
20200607,7,Q2,6,2020,2020-06-07
20200608,8,Q2,6,2020,2020-06-08
20200609,9,Q2,6,2020,2020-06-09
20200610,10,Q2,6,2020,2020-06-10
20200611,11,Q2,6,2020,2020-06-11
20200612,12,Q2,6,2020,2020-06-12
20200613,13,Q2,6,2020,2020-06-13
20200614,14,Q2,6,2020,2020-06-14
20200615,15,Q2,6,2020,2020-06-15
20200616,16,Q2,6,2020,2020-06-16
20200617,17,Q2,6,2020,2020-06-17
20200618,18,Q2,6,2020,2020-06-18
20200619,19,Q2,6,2020,2020-06-19
20200620,20,Q2,6,2020,2020-06-20
20200621,21,Q2,6,2020,2020-06-21
20200622,22,Q2,6,2020,2020-06-22
20200623,23,Q2,6,2020,2020-06-23
20200624,24,Q2,6,2020,2020-06-24
20200625,25,Q2,6,2020,2020-06-25
20200626,26,Q2,6,2020,2020-06-26
20200627,27,Q2,6,2020,2020-06-27
20200628,28,Q2,6,2020,2020-06-28
20200629,29,Q2,6,2020,2020-06-29
20200630,30,Q2,6,2020,2020-06-30
20200701,1,Q3,7,2020,2020-07-01
20200702,2,Q3,7,2020,2020-07-02
20200703,3,Q3,7,2020,2020-07-03
20200704,4,Q3,7,2020,2020-07-04
20200705,5,Q3,7,2020,2020-07-05
20200706,6,Q3,7,2020,2020-07-06
20200707,7,Q3,7,2020,2020-07-07
20200708,8,Q3,7,2020,2020-07-08
20200709,9,Q3,7,2020,2020-07-09
20200710,10,Q3,7,2020,2020-07-10
20200711,11,Q3,7,2020,2020-07-11
20200712,12,Q3,7,2020,2020-07-12
20200713,13,Q3,7,2020,2020-07-13
20200714,14,Q3,7,2020,2020-07-14
