sk_vendor,vendor_code,license_no,jenis_mobil
1,0000505138,B 9840 TEY,BU/25JK07/HERYDJ
2,0000502777,B 9618 KA,1T.BUILT UP
3,0000503421,B 9864 TCB,FUSO
4,0000507232,B 9144 BEV,BU/25CT02/FIKRI
5,0000505138,B 9611 TEX,KUBIKASI
6,0000505138,B 9797 TEY,1T.BUILT UP
7,0000503421,B 9602 PEU,1T BUILT UP
8,0000503421,B 9844 PEU,BU/20CT02/DEDI
9,0000503421,B 9772 PEU,1T.BUILT UP
10,0000505339,B 9638 BXS,1T.BUILT UP
11,0000505138,B 9874 TXT,BU/DCT037/RIKI
12,0000505733,B 9091 VEU,1.KUBIKASI
13,0000503421,B 9634 PEU,3T.BUILT UP
14,0000502777,B 9155 BEU,1T.BUILT UP
15,0000503421,B 9505 PEU,3T.BUILT UP
16,0000505138,B 9112 TEZ,KUBIKASI
17,0000503421,B 9298 PXS,BUILT UP
18,0000505138,B 9148 TEV,1.KUBIKASI
19,0000507018,N 8066 UV,BU/25CJ01/RIKI
20,0000505138,B 9067 TEZ,KUBIKASI
21,0000507018,N 8074 UV,BU/25CT02/RIKI
22,0000503763,B 9273 TEZ,BU/25CB03/DEDI
23,0000505138,B 9630 TEW,1.KUBIKASI
24,0000505138,B 9019 TEX,BU/25JT08/INDRA
25,0000505138,B 9301 TEY,BU/25CT02/HASAN
26,0000501246,B 9657 UIU,BU/GBCT01/RIKI
27,0000507018,N 8066 UV,BU/25CT02/RIKI
28,0000502019,B 9890 FEU,1T.BUILT UP
29,0000505138,B 9910 TEV,BU/25CT02/RIKI
30,0000503421,B 9505 PEU,1T.BUILT UP
31,0000503763,B 9321 TXU,1.KUBIKASI
32,0000503763,B 9273 TEZ,BU/25CJ01/RIKI
33,0000503421,B 9505 PEU,1T.BUILT UP
34,0000503421,B 9747 PEU,BU/20CR02/INDRA
35,0000503421,B 9109 PXS,BU/20CJ01/HASAN
36,0000505138,B 9332 TEV,BU/25CT02/RIKI
37,0000502019,B 9831 FEU,1T.BUILT UP
38,0000505138,B 9790 TEW,BU/25CJ01/HASAN
39,0000506461,B 9421 SEU,1T.BUILT UP
40,0000503421,B 9768 PEU,BU/20CB02/RIKI
